makeId,modelId,makeName,usage,year,IDV_Category,Price,modelName
20077,40403,Nissan,Used,2014,I,14473.75,MuranoCrossCabriolet
20041,48265,Subaru,Used,2013,I,14336.0638,XVCrosstrek
20017,35363,Honda,Used,2015,I,11978.0,CRZ
20089,43344,Volkswagen,Used,2014,I,12844.875,Beetle
20019,36428714,INFINITI,Used,2013,I,14957.1148,NAME
20001,22248,Acura,Used,2013,I,13799.6667,TSX
20088,22101,Toyota,Used,2017,I,14999.0,Sienna
20064,39583,Hyundai,Used,2015,I,12596.8824,SonataHybrid
20077,35968,Nissan,Used,2017,I,14566.25,Leaf
20088,20774,Toyota,Used,2014,I,14142.5,CamryHybrid
20089,21183,Volkswagen,Used,2014,I,12877.4,GTI
20077,35967,Nissan,Used,2013,I,10495.0,Juke
20075,38203,MINI,Used,2014,I,11051.0,Clubman
20021,21766,Jeep,Used,2016,I,14983.2857,Patriot
20015,49085,Ford,Used,2015,I,12559.5,CMaxHybrid
20053,30028443,Chevrolet,Used,2016,I,14921.8125,MalibuLimited
20064,21221,Hyundai,Used,2013,I,12473.8,Genesis
20089,21758,Volkswagen,Used,2013,I,12870.0,Passat
20053,57447,Chevrolet,Used,2016,I,11783.875,CityExpress
20077,52109,Nissan,Used,2019,I,14896.0,VersaNote
20085,22401,Scion,Used,2014,I,11283.7,tC
20089,43344,Volkswagen,Used,2017,I,14679.0,Beetle
20068,56687,Kia,Used,2015,I,12146.0,SoulEV
20073,35965,Mazda,Used,2013,I,6521.7692,Mazda2
20021,21766,Jeep,Used,2017,I,14125.0833,Patriot
20077,35968,Nissan,Used,2013,I,8062.0,Leaf
20064,42323,Hyundai,Used,2015,I,12056.9091,Veloster
20077,52109,Nissan,Used,2016,I,9270.0,VersaNote
20068,40463,Kia,Used,2014,I,12102.0,OptimaHybrid
20042,34643,Suzuki,Used,2013,I,5300.0,Kizashi
20025,21403,Lincoln,Used,2013,I,14640.9149,MKS
20012,20663,Dodge,Used,2014,I,11545.5,Avenger
20228,42803,smart,Used,2014,I,6097.5,ForTwoElectricDrive
20089,21242,Volkswagen,Used,2015,I,13547.0,Golf
20015,49085,Ford,Used,2016,I,13916.566,CMaxHybrid
20017,20848,Honda,Used,2013,I,11556.9412,CivicHybrid
20060,58488,FIAT,New,2019,II,25676.4286,500X
20068,21740,Kia,New,2018,II,24531.6667,Optima
20053,21900,Chevrolet,New,2019,II,17230.0,S10
20060,20483,FIAT,New,2019,II,19337.9524,500
20006,36321969,Buick,New,2019,II,29872.1974,RegalSportback
20068,21828,Kia,New,2019,II,16243.088,Rio
20068,22084,Kia,New,2018,II,26728.3333,Sorento
20030,34227059,Mitsubishi,New,2018,II,18736.4,MirageG4
20060,53260,FIAT,New,2018,II,25070.25,500e
20073,21460,Mazda,New,2018,II,29006.1,MX5Miata
20017,20823,Honda,New,2018,II,21853.0,Civic
20015,27661,Ford,New,2018,II,25841.3,FusionHybrid
20077,52670,Nissan,New,2019,II,23458.7206,0
20017,20823,Honda,New,2019,II,22938.7207,Civic
20073,30000208,Mazda,New,2018,II,27655.0,CX3
20088,35084748,Toyota,New,2018,II,20011.0,CorollaiM
20089,30003099,Volkswagen,New,2019,II,27241.0,GolfSportWagen
20077,52670,Nissan,New,2018,II,25295.0,NV200
20053,21065,Chevrolet,New,2020,II,29837.2927,Equinox
20021,20864,Jeep,New,2019,II,25954.3787,Compass
20089,43344,Volkswagen,New,2018,II,28999.0,Beetle
20089,35864320,Volkswagen,New,2019,II,29568.0935,GolfAlltrack
20088,22358,Toyota,New,2019,II,17066.0,Venza
20053,21413,Chevrolet,New,2019,II,23756.6415,Malibu
20015,36284899,Ford,New,2018,II,23602.3125,EcoSport
20064,49764,Hyundai,New,2019,II,21962.193,ElantraGT
20064,21053,Hyundai,New,2019,II,18833.2778,Elantra
20077,52187,Nissan,New,2018,II,28971.2,NAME
20053,21413,Chevrolet,New,2018,II,24843.5,Malibu
20068,28323,Kia,New,2019,II,19812.9833,Forte
20068,33910101,Kia,New,2019,II,26721.3354,Niro
20064,36301312,Hyundai,New,2019,II,26036.3125,IoniqHybrid
20015,28203,Ford,New,2019,II,24244.3836,TransitConnect
20060,33484310,FIAT,New,2019,II,29914.506,124Spider
20053,30028443,Chevrolet,New,2019,II,17230.0,MalibuLimited
